night_commit_ratio,pr_lines_changed,pr_files_changed,review_gap_hours,review_depth_score,consecutive_ci_failures,ci_pass_rate_7d,deadline_24h_count,deadline_48h_count,open_ticket_count,commit_velocity_spike,cross_team_files_ratio,test_file_updated,hotfix_label_present,risk_label
0.4891,569,10,6.06,1.0256,3,0.8557,1,4,11,1.3797,0.4808,0,1,1
0.3204,675,31,25.54,0.927,5,0.5984,4,2,9,2.9549,0.2189,0,0,2
0.718,1434,43,48.52,1.0203,6,0.61,1,4,12,3.2394,0.326,0,0,2
0.0214,94,1,30.0,2.2484,2,0.8105,1,0,1,1.1056,0.1605,0,0,0
0.2661,190,2,2.29,1.6981,1,0.8498,0,1,5,1.388,0.0684,1,0,0
0.0024,238,6,16.8,1.5338,2,0.8004,1,2,2,1.4875,0.0704,1,0,0
0.0842,205,9,2.05,2.0644,0,0.7749,0,2,5,1.5004,0.0944,1,0,0
0.4175,659,13,18.84,1.3009,1,0.7503,2,4,10,2.1319,0.1177,1,0,1
0.3108,537,8,13.98,1.719,0,0.9395,2,4,12,1.9147,0.1926,1,0,1
0.2082,742,18,17.96,1.7724,2,0.8384,0,1,12,1.0178,0.1443,1,0,1
0.2218,797,11,1.0,1.63,0,0.6472,1,2,9,0.7775,0.21,0,0,1
0.1977,332,2,2.07,2.1334,1,0.8415,0,0,1,1.3215,0.0075,0,0,0
0.0508,307,4,7.92,1.9642,1,0.8387,0,0,2,1.0905,0.1508,1,0,0
0.3408,127,7,1.77,1.7753,1,0.8265,0,2,6,1.7416,0.229,1,0,0
0.5407,1618,37,30.28,0.0,3,0.5454,3,5,10,2.7793,0.5185,0,1,2
0.3709,1072,18,53.03,0.4825,6,0.699,4,5,8,2.7657,0.9502,0,0,2
0.0,71,4,2.4,1.3293,0,0.9134,1,1,4,1.2484,0.2001,1,0,0
0.2419,1485,13,22.31,0.0298,2,0.5657,2,5,15,1.845,0.2863,0,1,2
0.2181,724,20,49.45,1.9853,0,0.6103,0,2,11,2.1501,0.1949,0,0,1
0.0,307,3,5.56,2.1539,1,0.8367,0,2,5,0.6949,0.0,1,0,0
0.245,332,3,1.67,1.9275,1,0.8297,0,1,2,1.0204,0.1915,1,0,0
0.2989,811,43,90.55,1.3421,6,0.5069,3,2,19,2.7026,0.3771,0,0,2
0.157,105,7,2.4,2.2453,2,0.9456,0,2,1,1.8403,0.0908,1,0,0
0.3002,233,4,2.35,2.3613,1,0.806,1,0,5,1.4727,0.0886,0,0,0
0.4247,3989,82,81.66,0.0122,6,0.0141,6,3,14,3.2393,0.9684,0,1,3
0.104,300,4,2.23,2.3662,0,0.8283,0,2,1,1.8717,0.1939,0,0,0
0.9647,1227,48,20.0,0.2654,7,0.2094,3,3,29,5.8978,0.9171,0,1,3
0.0926,195,7,0.53,2.2678,2,1.0,1,1,5,1.2038,0.0884,1,0,0
0.5163,3709,64,46.71,0.0,12,0.0246,8,6,29,5.5798,0.8276,0,0,3
0.1606,157,1,8.94,1.4799,0,0.7778,1,1,1,1.0773,0.5796,1,0,0
0.2176,406,16,6.3,0.8085,1,0.6043,0,2,9,1.6137,0.2531,0,0,1
0.0488,148,2,7.05,1.5221,0,0.7682,1,1,3,0.9161,0.0867,1,0,0
0.4546,3627,51,44.92,0.0857,12,0.1828,3,4,30,5.7329,0.7018,0,1,3
0.6569,2298,46,108.86,0.0,4,0.1634,2,10,20,4.2181,0.8619,0,1,3
0.3289,590,8,1.0,1.1065,1,0.8687,2,1,9,2.4111,0.1044,1,0,1
0.308,1740,42,6.0,0.6838,6,0.6102,2,3,15,2.2527,0.5217,0,0,2
0.1383,1708,32,33.2,0.0,3,0.3358,3,6,19,2.608,0.3694,1,0,2
0.6986,1704,45,172.45,0.0982,4,0.3099,6,4,22,4.1832,0.9962,0,1,3
0.9447,3101,50,26.21,0.0,14,0.3773,4,7,24,7.4657,0.8893,0,1,3
0.5801,679,21,12.15,0.7159,3,0.7422,1,4,6,1.0744,0.1325,0,0,1
0.6808,638,42,6.0,1.3136,4,0.3838,2,5,17,4.0398,0.5757,0,1,2
0.8573,3325,72,38.59,0.1508,7,0.2473,8,7,30,5.2682,0.7937,0,1,3
0.2371,170,6,10.05,1.6006,1,0.999,0,2,4,1.6928,0.2509,1,0,0
0.1292,365,9,6.4,1.8041,0,0.8687,1,2,5,1.1284,0.2456,1,0,0
0.0871,371,6,5.95,1.516,1,1.0,1,1,4,0.9841,0.1441,0,0,0
0.7682,2314,51,69.48,0.027,5,0.3198,5,3,22,5.725,0.4793,0,1,3
0.5309,1804,78,87.93,0.0,14,0.239,7,3,13,3.2506,0.5104,0,1,3
0.601,4470,30,54.97,0.0,12,0.2641,7,9,23,4.1078,0.6825,0,1,3
0.4954,2017,17,34.13,1.1751,2,0.4201,3,6,13,3.7406,0.6711,0,1,2
0.2544,2007,14,25.86,1.6457,5,0.3546,3,2,10,3.427,0.422,0,0,2
0.4961,2850,42,82.34,0.0,7,0.097,7,6,29,5.7921,0.838,0,1,3
0.3771,1220,57,152.24,0.057,9,0.3022,3,4,18,7.3903,0.5866,0,1,3
0.2097,245,13,11.51,0.7004,2,0.878,0,1,12,1.7679,0.2288,0,0,1
0.5184,641,44,46.79,1.0524,6,0.3193,2,4,19,3.5596,0.2382,0,0,2
0.0098,142,8,10.72,0.8151,0,0.8253,0,0,1,0.9592,0.034,1,0,0
0.511,1148,42,6.0,0.659,3,0.4966,2,6,19,2.464,0.3667,1,1,2
0.2386,28,5,4.78,1.973,0,0.9254,0,2,2,0.7286,0.0667,1,0,0
0.1317,302,3,13.48,2.1725,1,0.896,1,2,3,1.6827,0.0,1,0,0
0.3415,368,8,8.52,0.5491,1,0.9764,1,1,5,1.4682,0.6871,1,1,1
0.4518,1686,16,22.21,1.1907,5,0.6401,1,5,17,3.2179,0.5624,0,0,2
0.2201,231,14,12.5,0.7602,2,0.841,1,2,3,1.5891,0.0544,1,0,1
0.6002,1697,39,101.13,0.0,7,0.1153,5,5,30,6.8663,0.6757,0,1,3
0.4932,3194,58,135.49,0.0,10,0.0746,2,5,29,7.0174,0.6914,0,1,3
0.7494,1534,51,20.0,0.0022,7,0.1703,8,9,19,4.0014,0.3919,0,1,3
0.0266,48,7,4.45,1.5359,2,0.7693,1,2,1,0.8794,0.0,1,0,0
0.5291,1725,24,100.19,0.1956,2,0.6125,4,6,17,2.6636,0.4075,0,0,2
0.5073,1166,16,77.55,1.0426,3,0.2917,1,4,8,2.839,0.244,0,0,2
0.0,690,10,1.0,2.0044,2,0.6014,0,4,4,1.9946,0.1711,0,0,1
0.3718,1985,21,82.09,1.1592,6,0.591,3,5,15,2.3299,0.3673,0,0,2
0.8662,2623,83,20.0,0.0,10,0.2227,8,9,18,3.8535,0.9077,1,1,3
0.2872,387,16,32.03,0.8728,3,0.5777,2,2,7,2.5221,0.4263,1,0,1
0.3149,94,5,0.99,1.8792,2,0.7232,1,0,6,1.1845,0.1127,1,0,0
0.1574,64,8,9.04,1.2994,1,0.9037,0,0,1,0.6749,0.0967,1,0,0
0.0532,115,7,19.03,1.1921,1,0.9516,0,1,4,0.9918,0.0197,0,0,0
0.24,342,1,1.06,1.719,0,0.9886,0,0,1,0.6418,0.1636,1,0,0
0.2035,777,21,17.37,1.0489,2,0.7852,2,4,10,1.3141,0.339,1,0,1
0.1787,180,1,0.5,2.1253,2,0.7142,1,1,3,1.7954,0.1178,1,0,0
0.459,2181,29,110.0,0.5757,7,0.5408,2,2,17,3.3356,0.2424,1,1,2
0.4052,991,41,15.34,0.1135,5,0.3381,2,2,19,2.951,0.6739,1,1,2
0.9077,4070,38,20.0,0.0142,11,0.1129,6,6,21,5.7457,0.8481,0,1,3
0.3322,2175,24,6.0,1.518,6,0.4227,1,4,10,1.5875,0.4092,0,0,2
0.3763,1047,15,6.0,1.2433,6,0.5564,2,5,7,2.8266,0.495,0,0,2
1.0,1253,32,210.0,0.0043,15,0.303,6,6,20,5.4548,0.7477,0,1,3
0.6482,467,10,2.66,1.9419,3,0.9413,1,3,12,1.4546,0.1713,1,0,1
0.5441,1965,25,6.0,0.0,4,0.4926,3,5,7,2.1408,0.3253,1,0,2
0.0391,439,9,10.35,1.4773,0,0.7385,1,3,6,2.0955,0.0608,0,0,1
0.0026,367,5,3.13,2.0238,0,0.8463,0,2,4,0.6614,0.0893,1,0,0
0.2044,375,6,1.21,1.5486,0,0.9224,0,1,4,0.6494,0.1495,1,0,0
0.8324,2282,51,20.0,0.0,13,0.0637,5,5,26,6.9127,0.9144,0,1,3
0.6856,4994,51,78.27,0.0,7,0.3385,7,5,26,7.4432,1.0,0,1,3
0.9241,2932,58,143.97,0.0941,11,0.1563,7,3,15,6.9563,1.0,0,1,3
0.0165,386,5,0.5,0.9054,0,0.9793,0,1,4,1.655,0.0,1,0,0
0.0145,219,2,5.74,1.4402,0,0.8291,1,0,6,0.7894,0.0293,1,0,0
0.565,442,15,15.3,1.6875,3,0.519,1,3,7,2.8445,0.597,0,0,1
0.0483,22,1,20.55,1.797,0,0.7731,0,2,4,0.9159,0.0361,1,0,0
0.9515,4943,42,23.33,0.0497,4,0.3674,4,5,30,3.9098,0.9609,0,1,3
0.2831,1347,18,110.0,0.0,2,0.5549,4,4,19,4.3135,0.2377,1,0,2
0.5094,1950,44,36.94,0.0,6,0.6398,2,4,9,3.5014,0.2827,0,1,2
0.0,332,6,7.05,1.9208,1,0.7876,0,1,3,1.6604,0.2791,1,0,0
0.1178,56,4,7.7,1.9585,1,0.9633,1,0,2,0.924,0.4819,0,0,0
0.3354,235,11,22.83,1.264,1,0.6641,1,4,11,0.8953,0.3809,0,0,1
0.4904,155,17,1.95,1.2372,3,0.6352,2,4,3,2.08,0.1122,1,0,1
0.6332,799,14,1.64,2.2897,1,0.7977,2,2,10,1.5845,0.2846,0,0,1
0.378,2459,52,20.0,0.0,6,0.1567,2,6,22,5.8766,0.7703,0,1,3
0.0226,40,5,3.12,1.955,1,0.6999,0,0,1,1.5204,0.3294,1,0,0
0.1319,55,6,4.63,1.2937,0,0.9209,0,0,6,0.7404,0.2015,1,0,0
0.0528,287,5,1.78,1.4523,1,0.7432,0,1,4,1.6449,0.0232,1,0,0
0.3781,599,13,8.5,2.0401,3,0.7349,0,1,8,1.2193,0.4072,1,0,1
0.8551,3892,82,104.38,0.0752,9,0.3051,8,3,21,7.3696,0.5113,0,1,3
0.012,478,7,6.37,1.7986,2,0.686,1,3,8,1.439,0.2522,1,0,1
0.5782,572,16,14.65,1.3456,2,0.6679,0,4,6,1.3094,0.2231,0,0,1
0.0,249,8,0.5,1.0184,2,0.8857,1,1,4,0.9801,0.07,1,0,0
0.841,2810,36,20.0,0.0,7,0.0773,4,8,31,3.9633,0.3632,0,1,3
0.0665,109,1,9.95,2.1409,2,0.9159,1,0,2,1.0101,0.0877,0,0,0
0.4414,230,21,9.1,1.5547,0,0.7549,2,3,9,0.7271,0.0,1,0,1
0.5078,908,41,6.0,0.7717,4,0.4148,2,5,15,1.7229,0.5248,1,1,2
0.2957,449,6,1.0,1.3607,2,0.8107,1,3,3,1.9895,0.5497,1,0,1
0.2905,518,15,1.0,1.4407,2,0.635,2,1,4,2.7594,0.1807,1,1,1
0.0255,213,4,0.6,1.9966,2,0.9667,0,1,2,1.6899,0.035,1,1,0
0.6549,379,8,26.87,1.0268,2,0.604,0,4,7,1.1685,0.356,1,0,1
0.1436,599,6,20.05,1.7344,2,0.6061,0,4,9,2.5859,0.3346,1,0,1
0.0428,40,1,11.16,1.3801,1,0.9268,0,2,1,1.3251,0.091,0,0,0
0.6172,4912,82,20.0,0.0,11,0.2753,3,5,24,5.2424,0.6545,0,0,3
0.143,309,4,10.18,2.3903,2,0.9839,1,0,3,0.7755,0.2234,1,0,0
0.1939,244,18,2.83,0.4652,1,0.8331,2,1,6,1.9868,0.1758,0,0,1
0.4033,4952,42,36.51,0.0049,11,0.4465,3,5,15,3.9017,0.7072,0,1,3
0.2316,723,20,10.73,1.4174,1,0.7202,2,4,8,2.0117,0.2518,1,0,1
0.7213,1683,52,63.19,0.0323,4,0.119,4,6,31,5.3012,0.9288,1,1,3
0.0905,729,27,24.9,0.3809,2,0.3572,3,6,8,3.1436,0.813,0,0,2
0.5769,616,41,106.16,0.0,2,0.3821,3,3,16,1.6457,0.38,0,0,2
0.865,1367,66,35.79,0.1241,13,0.1376,7,4,20,4.6277,0.7007,0,1,3
0.6,793,34,48.08,0.0,5,0.5043,2,6,15,3.858,0.6372,0,1,2
0.6211,748,14,1.0,0.41,3,0.8137,2,3,11,0.8343,0.0,0,0,1
0.3189,718,13,17.21,1.9141,3,0.6339,1,3,12,2.4711,0.3253,0,0,1
0.8443,1536,45,106.23,0.0,15,0.1407,4,3,23,6.1006,0.5146,0,1,3
1.0,4685,75,210.0,0.0284,7,0.2713,6,8,13,7.2604,0.9144,0,1,3
0.5287,3147,50,69.5,0.0362,10,0.3654,6,3,25,6.6256,0.8997,0,1,3
0.414,1146,37,67.24,1.4137,7,0.2401,4,5,10,2.5001,0.27,1,0,2
0.1008,206,7,0.5,0.9256,0,0.7479,0,0,4,1.3962,0.1073,0,0,0
0.235,41,9,1.78,2.2828,1,0.7081,1,0,4,1.4861,0.0569,1,0,0
0.4658,1087,18,23.79,1.1817,5,0.6251,2,3,10,1.9728,0.738,1,0,2
0.89,4921,83,104.1,0.1066,9,0.3855,6,9,13,6.0501,0.3513,0,1,3
0.5518,2165,75,76.13,0.0149,8,0.4771,8,3,20,6.4958,0.7001,0,1,3
0.6892,4728,46,20.0,0.065,14,0.3597,7,3,28,3.7396,0.7523,0,1,3
0.5701,4633,54,82.58,0.0951,6,0.3161,6,9,13,7.3753,0.6124,0,1,3
0.7122,1423,39,30.64,0.0692,3,0.4581,2,6,9,2.869,0.3563,0,1,2
0.5224,649,39,53.45,0.6408,7,0.2393,2,6,12,2.965,0.5524,0,0,2
0.5161,1385,32,6.0,0.0988,4,0.6864,3,5,10,1.9182,0.4627,0,0,2
0.516,1764,38,6.0,1.3033,5,0.5178,4,2,16,3.6567,0.4465,0,1,2
0.2489,1736,42,18.35,1.4748,2,0.2538,3,5,7,3.6239,0.1111,0,0,2
0.3726,730,6,37.64,0.8622,3,0.7154,0,2,10,1.958,0.3949,1,0,1
0.7966,3556,49,20.0,0.0989,9,0.0263,6,4,25,4.2788,0.6876,0,1,3
0.5374,4629,78,150.56,0.0,6,0.2008,8,6,14,7.1965,0.7004,0,1,3
0.2594,3680,35,47.13,0.0,10,0.3778,7,7,28,6.2562,0.6602,0,1,3
0.0205,713,16,21.65,1.3609,3,0.6204,2,2,5,2.2909,0.4262,1,0,1
